         pointing  group        RA       Dec  skip        SN               filename       field detname  tilenumber
          632.F.a    632 245.67348  27.68917     0       NaN           632.F.a.json        632F     NaN        <NA>
          674.E.a    674 210.89111  27.88745     0       NaN           674.E.a.json        674E     NaN        <NA>
          679.A.a    679 240.64809  32.20932     0       NaN           679.A.a.json        679A     NaN        <NA>
          679.B.a    679 240.65060  35.30769     0       NaN           679.B.a.json        679B     NaN        <NA>
          679.C.a    679 244.35917  32.20932     0       NaN           679.C.a.json        679C     NaN        <NA>
          679.D.a    679 244.36168  35.30769     0       NaN           679.D.a.json        679D     NaN        <NA>
          679.E.a    679 248.07030  32.20932     0       NaN           679.E.a.json        679E     NaN        <NA>
          679.F.a    679 248.07281  35.30769     0       NaN           679.F.a.json        679F     NaN        <NA>
          691.A.a    691 335.38236  31.78719     0       NaN           691.A.a.json        691A     NaN        <NA>
          691.B.a    691 335.38482  34.88557     0       NaN           691.B.a.json        691B     NaN        <NA>
          691.C.a    691 339.09344  31.78719     0       NaN           691.C.a.json        691C     NaN        <NA>
          691.D.a    691 339.09664  35.73680     0       NaN           691.D.a.json        691D     NaN        <NA>
          691.E.a    691 342.80457  31.78719     0       NaN           691.E.a.json        691E     NaN        <NA>
          691.F.a    691 342.80703  34.88557     0       NaN           691.F.a.json        691F     NaN        <NA>
          719.A.a    719 216.17261  38.98321     0       NaN           719.A.a.json        719A     NaN        <NA>
          719.B.a    719 215.98708  42.08125     0       NaN           719.B.a.json        719B     NaN        <NA>
          719.C.a    719 217.54223  33.99573     0       NaN           719.C.a.json        719C     NaN        <NA>
          719.D.a    719 220.16515  42.08131     0       NaN           719.D.a.json        719D     NaN        <NA>
          719.E.a    719 224.15053  38.98321     0       NaN           719.E.a.json        719E     NaN        <NA>
          719.F.a    719 224.34316  42.08131     0       NaN           719.F.a.json        719F     NaN        <NA>
     618.C.21aggu    618 137.73455  18.03640     0  2021aggu                    NaN    2021aggu     NaN        <NA>
             CDFS   <NA>  52.65000 -28.13500     0       NaN           CDFS.gi.json        CDFS     NaN        <NA>
       GRB210919A   <NA>  80.30970   1.33940     0       NaN        GRB210919A.json  GRB210919A     NaN        <NA>
    505.A.2021zby    505  44.43970  11.25110     0   2021zby                    NaN     2021zby     NaN        <NA>
         2021agji   <NA> 141.77470  24.02500     0  2021agji                    NaN    2021agji     NaN        <NA>
          2019tsf   <NA> 167.13667 -10.40170     0   2019tsf                    NaN     2019tsf     NaN        <NA>
          2021gno   <NA> 183.04289  13.16000     0   2021gno                    NaN     2021gno     NaN        <NA>
          2020nov   <NA> 254.55404   2.03751     0       NaN                    NaN     2020nov     NaN        <NA>
           2022ys   <NA>  35.44668 -11.00000     0       NaN                    NaN      2022ys     NaN        <NA>
          2022aau   <NA>  71.42429 -60.02000     0       NaN                    NaN     2022aau     NaN        <NA>
       grb211227A   <NA> 132.14889  -2.81000     0       NaN                    NaN  grb211227A     NaN        <NA>
           2022zi   <NA>  89.89063 -58.24000     0       NaN                    NaN      2022zi     NaN        <NA>
          2022aal   <NA>  65.59834 -66.83000     0       NaN                    NaN     2022aal      N4          35
          2022afc   <NA> 119.18522  26.97232     0       NaN                    NaN     2022afc      N4          35
          2021zny   <NA>  30.89694  15.82959     0       NaN                    NaN     2021zny      N4          35
           2021zj   <NA> 169.13384  29.18314     0       NaN                    NaN      2021zj      N4          35
           2022zj   <NA> 106.96094 -71.43791     0       NaN                    NaN      2022zj      N4          35
        AT2022cmc   <NA> 203.70000  33.20000     0       NaN                    NaN   AT2022cmc     NaN        <NA>
          2021jad   <NA>  82.97859 -21.85549     0       NaN                    NaN     2021jad     NaN        <NA>
          2022czy   <NA> 185.50249  17.08257     0       NaN                    NaN     2022czy      N4          35
          2022jli   <NA>   8.68617  -8.30329     0       NaN                    NaN     2022jli      N4          35
          2022ngb   <NA> 284.21186  36.70586     0       NaN                    NaN     2022ngb      N4          35
       hotshit123   <NA> 206.88039 -11.67743     0       NaN                    NaN  hotshit123      N4          35
      hotshit0817   <NA> 322.41541   0.17704     0       NaN                    NaN hotshit0817      N4          35
         2021afuq   <NA> 156.96432 -43.81500     0       NaN                    NaN    2021afuq      N4          35
          2020pju   <NA>  54.37231 -24.41416     0       NaN                    NaN     2020pju      N4          35
          2020jfo   <NA> 185.45818   4.56867     0       NaN                    NaN     2020jfo      N4          35
          2022ssk   <NA>  37.36681  -5.76138     0       NaN                    NaN     2022ssk      N4          35
          2022tmo   <NA>  68.96201 -13.24019     0       NaN                    NaN     2022tmo      N4          35
