name,order,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,t_start,t_end,slew_s,secz_i,secz_f,coord,early_limit,late_limit,eff_prio,current_time,t_start_hidden,t_end_hidden,cumul_program_time
ec0814,43,etale.ec0915.ec0814.i.5min,EtaCar,2024B-441839,0,3.9 min,159.6 deg,-60.2 deg,21:11,06:12,21:11,06:30,05:08,05:18,369,1.5,1.54,"<SkyCoord (ICRS): (ra, dec) in deg
    (159.6, -60.2)>",2025-03-08 00:11:51.236,2025-03-08 09:30:54.816,,2025-03-08 09:41:02.872,2025-03-08 08:08:43.599,2025-03-08 08:18:47.129,0
2025cy,44,2025cy,YSE,2024B-763968,0,1.2 min,200.3 deg,-43.6 deg,23:16,06:36,22:55,06:36,05:18,05:21,93,1.07,1.07,"<SkyCoord (ICRS): (ra, dec) in deg
    (200.3, -43.6)>",2025-03-08 01:55:58.218,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 08:18:47.129,2025-03-08 08:21:32.793,0
2025aes_P2,45,2025aes_P2,DEBASS,2020B-0053,1,2.4 min,201.8 deg,-35.2 deg,23:33,06:36,23:14,06:36,05:21,05:24,47,1.04,1.05,"<SkyCoord (ICRS): (ra, dec) in deg
    (201.8, -35.2)>",2025-03-08 02:14:04.650,2025-03-08 09:36:34.325,,2025-03-08 09:41:02.872,2025-03-08 08:21:32.793,2025-03-08 08:24:44.448,0
DESIRT',46,DESIRT_P2,DESIRT,2025A-729671,1,2.6 min,208.1 deg,-43.3 deg,23:48,06:36,23:27,06:36,05:24,05:28,49,1.04,1.05,"<SkyCoord (ICRS): (ra, dec) in deg
    (208.1, -43.3)>",2025-03-08 02:27:39.474,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 08:24:44.448,2025-03-08 08:28:10.235,0
ShallowApex,47,6_ShallowApex.250307_i_9-dithpos,DOSC,2025A-316276,0,21.9 min,213.2 deg,-33.9 deg,00:20,06:36,00:01,06:36,05:28,05:50,51,1.01,1.03,"<SkyCoord (ICRS): (ra, dec) in deg
    (213.2, -33.9)>",2025-03-08 03:01:36.533,2025-03-08 09:36:34.325,,2025-03-08 09:41:02.872,2025-03-08 08:28:10.235,2025-03-08 08:50:55.686,0
ShallowApex'',48,4_ShallowApex.250307_g_4-dithpos,DOSC,2025A-316276,0,9.5 min,213.2 deg,-33.9 deg,00:20,06:36,00:01,06:36,05:50,06:00,29,1.03,1.03,"<SkyCoord (ICRS): (ra, dec) in deg
    (213.2, -33.9)>",2025-03-08 03:01:36.533,2025-03-08 09:36:34.325,,2025-03-08 09:41:02.872,2025-03-08 08:50:55.686,2025-03-08 09:00:54.686,0
ShallowApex',49,5_ShallowApex.250307_r_6-dithpos,DOSC,2025A-316276,0,14.4 min,213.2 deg,-33.9 deg,00:20,06:36,00:01,06:36,06:00,06:15,29,1.03,1.05,"<SkyCoord (ICRS): (ra, dec) in deg
    (213.2, -33.9)>",2025-03-08 03:01:36.533,2025-03-08 09:36:34.325,,2025-03-08 09:41:02.872,2025-03-08 09:00:54.686,2025-03-08 09:15:47.686,0
2025bbx_P1,50,2025bbx_P1,DEBASS,2020B-0053,0,2.4 min,222.0 deg,-39.1 deg,00:49,06:36,00:28,06:36,06:15,06:18,48,1.03,1.03,"<SkyCoord (ICRS): (ra, dec) in deg
    (222., -39.1)>",2025-03-08 03:28:46.181,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 09:15:47.686,2025-03-08 09:18:59.985,0
2025aft,51,2025aft,YSE,2024B-763968,0,3.5 min,251.8 deg,-72.9 deg,02:32,06:36,02:11,06:36,06:18,06:24,109,1.38,1.38,"<SkyCoord (ICRS): (ra, dec) in deg
    (251.8, -72.9)>",2025-03-08 05:11:45.261,2025-03-08 09:36:34.325,,2025-03-08 09:41:02.872,2025-03-08 09:18:59.985,2025-03-08 09:24:19.929,0
2025acu_P3,,2025acu_P3,DEBASS,2020B-0053,2,2.4 min,158.0 deg,0.9 deg,21:53,04:28,21:34,04:46,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (158., 0.9)>",2025-03-08 00:34:29.276,2025-03-08 07:46:47.833,9999.0,2025-03-08 09:41:02.872,,,0
