# Date  ID  RA  Dec  dt  airmass_best  airmass_ok  airmass_acceptable  jsonfilename
2021-05-14  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-17  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-17  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-17  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-17  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-17  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-21  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-21  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-21  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-21  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-21  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-23  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-23  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-23  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-23  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-23  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-26  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-26  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-26  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-26  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-26  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-05-29  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-05-29  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-05-29  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-05-29  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-05-29  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-06-01  COSMOS-AGN-1      +150.0  +3.1    0.16 h  1.2  1.5  1.6  cosmos_agn_1.json
2021-06-01  COSMOS-AGN-2      149.22  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_2.json
2021-06-01  COSMOS-AGN-3      150.78  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_3.json
2021-06-01  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-06-01  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-06-04  COSMOS-AGN-1      +150.0  +3.1    0.16 h  1.2  1.5  1.6  cosmos_agn_1.json
2021-06-04  COSMOS-AGN-2      149.22  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_2.json
2021-06-04  COSMOS-AGN-3      150.78  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_3.json
2021-06-04  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-06-04  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-06-07  COSMOS-AGN-1      +150.0  +3.1    0.16 h  1.2  1.5  1.6  cosmos_agn_1.json
2021-06-07  COSMOS-AGN-2      149.22  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_2.json
2021-06-07  COSMOS-AGN-3      150.78  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_3.json
2021-06-07  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-06-07  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-06-10  COSMOS-AGN-1      +150.0  +3.1    0.16 h  1.2  1.5  1.6  cosmos_agn_1.json
2021-06-10  COSMOS-AGN-2      149.22  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_2.json
2021-06-10  COSMOS-AGN-3      150.78  +1.75   0.16 h  1.2  1.5  1.6  cosmos_agn_3.json
2021-06-10  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-06-10  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
